KEY_LENGTH,job_id,fina_key_len,attack_noticed,timestamp

197,simulator,0,not to consider,2024-07-05 11:16:38

197,simulator,0,true,2024-07-05 11:16:39

197,simulator,6,not to consider,2024-07-05 11:16:44

197,simulator,6,true,2024-07-05 11:16:46

197,simulator,7,not to consider,2024-07-05 11:16:51

197,simulator,7,true,2024-07-05 11:16:52

197,simulator,6,not to consider,2024-07-05 11:16:58

197,simulator,6,true,2024-07-05 11:16:59

197,simulator,3,not to consider,2024-07-05 11:17:05

197,simulator,3,true,2024-07-05 11:17:06

197,simulator,6,not to consider,2024-07-05 11:17:12

197,simulator,6,true,2024-07-05 11:17:14

197,simulator,0,not to consider,2024-07-05 11:17:19

197,simulator,0,true,2024-07-05 11:17:20

197,simulator,0,not to consider,2024-07-05 11:17:26

197,simulator,0,true,2024-07-05 11:17:27

197,simulator,11,not to consider,2024-07-05 11:17:32

197,simulator,11,true,2024-07-05 11:17:34

197,simulator,7,not to consider,2024-07-05 11:17:40

197,simulator,7,true,2024-07-05 11:17:41

198,simulator,5,not to consider,2024-07-05 11:17:47

198,simulator,5,true,2024-07-05 11:17:48

198,simulator,9,not to consider,2024-07-05 11:17:54

198,simulator,9,true,2024-07-05 11:17:56

198,simulator,2,not to consider,2024-07-05 11:18:02

198,simulator,2,true,2024-07-05 11:18:03

198,simulator,8,not to consider,2024-07-05 11:18:08

198,simulator,8,true,2024-07-05 11:18:10

198,simulator,8,not to consider,2024-07-05 11:18:15

198,simulator,8,true,2024-07-05 11:18:17

198,simulator,0,not to consider,2024-07-05 11:18:21

198,simulator,0,true,2024-07-05 11:18:22

198,simulator,19,not to consider,2024-07-05 11:18:27

198,simulator,19,true,2024-07-05 11:18:29

198,simulator,4,not to consider,2024-07-05 11:18:34

198,simulator,4,true,2024-07-05 11:18:36

198,simulator,7,not to consider,2024-07-05 11:18:41

198,simulator,7,true,2024-07-05 11:18:43

198,simulator,0,not to consider,2024-07-05 11:18:47

198,simulator,0,true,2024-07-05 11:18:49

199,simulator,8,not to consider,2024-07-05 11:18:54

199,simulator,8,true,2024-07-05 11:18:55

199,simulator,0,not to consider,2024-07-05 11:19:00

199,simulator,0,true,2024-07-05 11:19:02

199,simulator,0,not to consider,2024-07-05 11:19:06

199,simulator,0,true,2024-07-05 11:19:07

199,simulator,0,not to consider,2024-07-05 11:19:13

199,simulator,0,true,2024-07-05 11:19:17

199,simulator,0,not to consider,2024-07-05 11:19:21

199,simulator,0,true,2024-07-05 11:19:23

199,simulator,2,not to consider,2024-07-05 11:19:27

199,simulator,2,true,2024-07-05 11:19:29

199,simulator,3,not to consider,2024-07-05 11:19:33

199,simulator,3,true,2024-07-05 11:19:35

199,simulator,0,not to consider,2024-07-05 11:19:40

199,simulator,0,true,2024-07-05 11:19:42

199,simulator,0,not to consider,2024-07-05 11:19:47

199,simulator,0,true,2024-07-05 11:19:49

199,simulator,2,not to consider,2024-07-05 11:19:54

199,simulator,2,true,2024-07-05 11:19:56

200,simulator,0,not to consider,2024-07-05 11:20:02

200,simulator,0,true,2024-07-05 11:20:07

200,simulator,1,not to consider,2024-07-05 11:20:12

200,simulator,1,true,2024-07-05 11:20:14

200,simulator,16,not to consider,2024-07-05 11:20:19

200,simulator,16,true,2024-07-05 11:20:21

200,simulator,9,not to consider,2024-07-05 11:20:26

200,simulator,9,true,2024-07-05 11:20:28

200,simulator,7,not to consider,2024-07-05 11:20:33

200,simulator,7,true,2024-07-05 11:20:35

200,simulator,0,not to consider,2024-07-05 11:20:41

200,simulator,0,true,2024-07-05 11:20:43

200,simulator,2,not to consider,2024-07-05 11:20:48

200,simulator,2,true,2024-07-05 11:20:49

200,simulator,13,not to consider,2024-07-05 11:20:56

200,simulator,13,true,2024-07-05 11:21:01

200,simulator,1,not to consider,2024-07-05 11:21:08

200,simulator,1,true,2024-07-05 11:21:10

200,simulator,0,not to consider,2024-07-05 11:21:15

200,simulator,0,true,2024-07-05 11:21:17

201,simulator,0,not to consider,2024-07-05 11:21:23

201,simulator,0,true,2024-07-05 11:21:26

201,simulator,0,not to consider,2024-07-05 11:21:32

201,simulator,0,true,2024-07-05 11:21:34

201,simulator,0,not to consider,2024-07-05 11:21:39

201,simulator,0,true,2024-07-05 11:21:42

201,simulator,5,not to consider,2024-07-05 11:21:47

201,simulator,5,true,2024-07-05 11:21:49

201,simulator,1,not to consider,2024-07-05 11:21:54

201,simulator,1,true,2024-07-05 11:21:56

201,simulator,0,not to consider,2024-07-05 11:22:01

201,simulator,0,true,2024-07-05 11:22:03

201,simulator,0,not to consider,2024-07-05 11:22:08

201,simulator,0,true,2024-07-05 11:22:11

201,simulator,9,not to consider,2024-07-05 11:22:16

201,simulator,9,true,2024-07-05 11:22:19

201,simulator,0,not to consider,2024-07-05 11:22:25

201,simulator,0,true,2024-07-05 11:22:27

201,simulator,7,not to consider,2024-07-05 11:22:33

201,simulator,7,true,2024-07-05 11:22:34

202,simulator,0,not to consider,2024-07-05 11:22:39

202,simulator,0,true,2024-07-05 11:22:41

202,simulator,1,not to consider,2024-07-05 11:22:46

202,simulator,1,true,2024-07-05 11:22:47

202,simulator,0,not to consider,2024-07-05 11:22:52

202,simulator,0,true,2024-07-05 11:22:54

202,simulator,0,not to consider,2024-07-05 11:22:59

202,simulator,0,true,2024-07-05 11:23:01

202,simulator,8,not to consider,2024-07-05 11:23:06

202,simulator,8,true,2024-07-05 11:23:07

202,simulator,2,not to consider,2024-07-05 11:23:12

202,simulator,2,true,2024-07-05 11:23:14

202,simulator,0,not to consider,2024-07-05 11:23:19

202,simulator,0,true,2024-07-05 11:23:21

202,simulator,7,not to consider,2024-07-05 11:23:25

202,simulator,7,true,2024-07-05 11:23:27

202,simulator,1,not to consider,2024-07-05 11:23:31

202,simulator,1,true,2024-07-05 11:23:33

202,simulator,4,not to consider,2024-07-05 11:23:37

202,simulator,4,true,2024-07-05 11:23:40

203,simulator,6,not to consider,2024-07-05 11:23:44

203,simulator,6,true,2024-07-05 11:23:46

203,simulator,0,not to consider,2024-07-05 11:23:50

203,simulator,0,true,2024-07-05 11:23:52

203,simulator,0,not to consider,2024-07-05 11:23:56

203,simulator,0,true,2024-07-05 11:23:58

203,simulator,0,not to consider,2024-07-05 11:24:03

203,simulator,0,true,2024-07-05 11:24:04

203,simulator,0,not to consider,2024-07-05 11:24:09

203,simulator,0,true,2024-07-05 11:24:11

203,simulator,0,not to consider,2024-07-05 11:24:16

203,simulator,0,true,2024-07-05 11:24:18

203,simulator,6,not to consider,2024-07-05 11:24:23

203,simulator,6,true,2024-07-05 11:24:25

203,simulator,7,not to consider,2024-07-05 11:24:30

203,simulator,7,true,2024-07-05 11:24:31

